CityID,Price,DayTypeID,roomtypeID,Shared Room,Private Room,PersonCapID,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
1,614.44,1,1,FALSE,TRUE,2,FALSE,FALSE,TRUE,9,96,1,0.4958,0.3327,717.4464,37.9893,848.4048,59.1181
1,467.04,1,1,FALSE,TRUE,3,FALSE,FALSE,TRUE,10,94,1,0.5144,0.2772,589.2808,31.2028,873.3643,60.8573
1,716.378,1,2,FALSE,FALSE,5,TRUE,FALSE,FALSE,10,96,2,3.695,0.3975,116.724,6.1806,147.2523,10.2608
1,350.1043,1,1,FALSE,TRUE,1,FALSE,TRUE,FALSE,10,91,0,1.0979,0.9569,293.0607,15.5178,426.5719,29.7241
1,319.6401,1,1,FALSE,TRUE,1,FALSE,FALSE,TRUE,10,97,1,0.3846,0.3126,666.9076,35.3132,811.4863,56.5455
1,467.04,1,1,FALSE,TRUE,3,FALSE,FALSE,TRUE,10,96,1,0.4715,0.1433,767.0988,40.6184,825.0528,57.4909
1,983.2915,1,2,FALSE,FALSE,3,TRUE,FALSE,FALSE,10,100,2,1.4305,1.3526,322.0188,17.0511,423.3527,29.4998
1,298.7838,1,1,FALSE,TRUE,1,TRUE,FALSE,FALSE,9,94,0,4.2242,1.5193,108.7459,5.7582,138.7867,9.6709
1,196.6114,1,1,FALSE,TRUE,2,FALSE,FALSE,FALSE,9,94,1,6.1983,2.3713,65.7611,3.4821,81.3843,5.671
1,430.2486,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,10,96,1,3.0194,0.7924,144.55,7.654,182.762,12.7351
1,319.6401,1,1,FALSE,TRUE,1,FALSE,FALSE,TRUE,9,95,1,0.3633,0.2096,1238.4668,65.5776,755.1322,52.6187
1,405.6429,1,1,FALSE,TRUE,2,TRUE,FALSE,FALSE,9,98,1,5.0365,1.2466,87.2047,4.6175,109.0958,7.602
1,334.1691,1,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,10,97,1,1.1518,0.897,425.3459,22.5223,628.0124,43.7608
1,491.8801,1,1,FALSE,TRUE,1,FALSE,FALSE,TRUE,9,98,1,0.3751,0.1904,1888.5504,100,747.8012,52.1079
1,319.6401,1,1,FALSE,TRUE,1,FALSE,FALSE,TRUE,9,95,1,0.3605,0.2235,1030.2811,54.5541,761.5529,53.0661
1,780.3529,1,1,FALSE,TRUE,2,FALSE,FALSE,TRUE,10,100,5,1.3956,0.8572,311.0141,16.4684,350.8504,24.4478
1,355.0254,1,2,FALSE,FALSE,1,FALSE,FALSE,FALSE,9,90,1,1.4834,0.5362,334.9827,17.7376,370.0145,25.7831
1,1044.6887,1,2,FALSE,FALSE,2,FALSE,FALSE,FALSE,10,98,2,1.5059,0.1758,304.2794,16.1118,364.8628,25.4242
